变量,检验,chi2,df,p值,CramersV,效应量级别
Top1品类,卡方,465.2747281379621,12,5.37634320387965e-92,0.07069204774322234,小
客户州,卡方,14.73936236677317,8,0.06441597750335087,0.012582159263324875,小
