假设,维度,同州超时率%,跨州超时率%,跨州订单占比%,卡方p,效应量V,结论,明细
H4,同州 vs 跨州,5.42,8.81,64.0,1.3092758868730844e-80,0.061299672700836694,跨州对超时影响弱,
H5,客户州top,,,,,,,"[{'customer_state': 'AL', 'mean': 0.2297979797979798, 'count': 396, '超时率%': 22.98}, {'customer_state': 'MA', 'mean': 0.18934081346423562, 'count': 713, '超时率%': 18.93}, {'customer_state': 'SE', 'mean': 0.1536144578313253, 'count': 332, '超时率%': 15.36}, {'customer_state': 'PI', 'mean': 0.15157894736842106, 'count': 475, '超时率%': 15.16}, {'customer_state': 'CE', 'mean': 0.14925373134328357, 'count': 1273, '超时率%': 14.93}]"
