任务,模型,AUC,PR_AUC,正样本
全期复购,逻辑回归,0.55002552477941,0.0353360500471298,837
全期复购,LightGBM,0.5974958815495005,0.044572570351935376,837
30天复购,逻辑回归,0.5375505549625438,0.01935177281414652,414
30天复购,LightGBM,0.615836052959072,0.03299718728430877,414
